German lexicon from lectures

anfang
blŸt
manchmal
reiden/reidert
den pzrenean		the pyranees
entschieden 		decide
steuer			tax
sensible		sensitive
erholen			relax
Ausbildung		qualification
Beruf			job


Alter			Age
___________________________

mittledreizig		middle thirties


Gršsse 			size
Gewicht			weight
dunn			thin
slank			thin
dick			thick
fett			fat
greftic			muscley
schmall			small

Harre			hair
lockig			curly
locken			curls
glatt/glatte		straight
kurtze			short
lange			long
man is ein glatzkopf	man is bald

Augen			eyes
ausdrucke		express (press out)
lebndig			livlez

bart			beard
oberlippen bart		moustache

+++++++++++++++++++++++++  old voccab ««++++++++++++++++

kooken			to see

neben			next to
von			from
aus			from, but applied to a country

auch traum		nightmare
traum			dream
dammerung		dawn/twilight

wšlte			wished
muste			must
solte			should
durfte			allowed

darf ich		may i

erlauben		usuallz/common


